IDProduktu	NazwaProduktu	KodRodzajuProduktu
1	Apple iPad 3G	1
2	Apple iPad Wi-Fi	1
3	Apple iPhone 4	2
4	HTC 7 Mozart	2
5	HTC 7 Surround	2
6	HTC 7 Trophy	2
7	HTC Aria	2
8	HTC Desire	2
9	HTC Desire HD	2
10	HTC Desire Z	2
		
11	HTC HD Mini	2
12	HTC HD7	2
13	HTC Legend	2
14	HTC Smart	2
15	HTC Wildfire	2
16	Huawei Ideos S7	1
17	LG Optimus 7	2
18	LG Optimus One P500	2
19	Nokia C5-00	2
20	Nokia N8	2
21	Samsung Galaxy S	2
22	Samsung Galaxy Tab 7.0 3G	1
23	Samsung Galaxy Tab 7.0 Wi-Fi	1
24	Samsung Omnia 7	2
25	Sony Ericsson Xperia X10	2
26	Acer Iconia Tab A500	1
27	Acer Iconia Tab A501	1
28	Apple iPad 2	1
29	Apple iPhone 4S	2
30	Asus Eee Pad Transformer Prime	1
31	Asus Eee Pad Transformer TF101	1
32	HP Pre 3	2
33	HTC 7 Pro	2
34	HTC Desire S	2
35	HTC EVO 3D	2
36	HTC Incredible S	2
37	HTC Sensation	2
38	HTC Wildfire S	2
39	Lenovo IdeaPad K1	1
40	LG Optimus 2X	2
41	Motorola Atrix 4G	2
42	Motorola Droid Bionic	2
43	Motorola Droid RAZR	2
44	Nokia E6-00	2
45	Nokia Lumia 710	2
46	Nokia Lumia 800	2
47	Nokia N9	2
48	Samsung Galaxy Note	2
49	Samsung Galaxy S II	2
50	Samsung Galaxy Tab 10.1	1
51	Samsung Galaxy Tab 10.1 3G	1
52	Samsung Galaxy Tab 7 Plus 3G	1
53	Samsung Galaxy Tab 7 Plus Wi-Fi	1
54	Samsung Galaxy W	2
55	Samsung Infuse 4G	2
56	Sony Ericsson Xperia Arc	2
57	Sony Ericsson Xperia arc S	2
58	Sony Ericsson Xperia Neo	2
59	Sony Tablet P	1
60	Sony Tablet S	1
61	Acer Iconia Tab A200	1
62	Acer Iconia Tab A210	1
63	Acer Iconia Tab A510	1
64	Acer Iconia Tab A700	1
65	Acer Iconia Tab A701 3G	1
66	Apple iPad 3	1
67	Apple iPad 3 LTE	1
68	Apple iPad 4	1
69	Apple iPad 4 LTE	1
70	Apple iPad mini	1
71	Apple iPhone 5	2
72	Asus Google Nexus 7	1
73	Asus Transformer T300	1
74	Asus Vivo Tab Smart	1
75	Asus VivoTab RT	1
76	HTC One X	2
77	HTC One X+	2
78	Huawei MediaPad 10 FHD	1
79	Huawei Mediapad 10 Link 3G	1
80	Huawei MediaPad 7 Lite	1
81	Lenovo ThinkPad Indigo	1
82	LG Optimus Pad	1
83	Nokia Lumia 900	2
84	Nokia Lumia 920	2
85	Samsung ATIV S	2
86	Samsung Galaxy Note 10.1 3G	1
87	Samsung Galaxy Note 10.1 Wi-Fi	1
88	Samsung Galaxy Note II	2
89	Samsung Galaxy S III	2
90	Samsung Galaxy Tab 2 10.1	1
91	Samsung Galaxy Tab 2 7.0	1
92	Samsung Galaxy Tab 8.9 3G	1
93	Samsung Galaxy Tab 8.9 LTE	1
94	Samsung Galaxy Tab 8.9 Wi-Fi	1
95	Sony Xperia S	2
96	Sony Xperia T	2
97	Sony Xperia Tablet S	1
98	Sony Xperia Tablet S Wi-Fi	1
99	Acer Iconia B1-710	1
100	Acer Iconia B1-711 3G	1
101	Acer Iconia Tab A1-810	1
102	Acer Iconia Tab B1-A71	1
103	Acer Iconia Tab W3-810	1
104	Acer Iconia Tab W511	1
105	Apple iPad Air	1
106	Apple iPad Air LTE	1
107	Apple iPad Mini 2	1
108	Apple iPad mini 2 LTE	1
109	Apple iPhone 5S	2
110	Asus Google Nexus 7 2013	1
111	Asus MeMO Pad 10	1
112	Asus MeMO Pad 7	1
113	Asus MeMO Pad FHD 10	1
114	Asus MeMO Pad HD 7	1
115	Asus MeMO Pad HD 8	1
116	Asus MeMO Pad Smart	1
117	Asus Transformer Book T100T / T100TA	1
118	BlackBerry Z10	2
119	Blackberry Z30	2
120	HTC One	2
121	Lenovo A2107	1
122	Lenovo A2107A 3G	1
123	Lenovo IdeaTab S6000H	1
124	Lenovo S5000	1
125	Lenovo ThinkPad 2	1
126	Lenovo Yoga 8 3G	1
127	Lenovo Yoga Tab 10	1
128	LG G2	2
129	LG Nexus 5	2
130	Nokia Lumia 1020	2
131	Samsung Galaxy Note 10.1 2014 edition 3G	1
132	Samsung Galaxy Note 10.1 2014 edition LTE	1
133	Samsung Galaxy Note 10.1 2014 edition Wi-Fi	1
134	Samsung Galaxy Note 8.0 3G	1
135	Samsung Galaxy Note 8.0 LTE	1
136	Samsung Galaxy Note 8.0 Wi-Fi	1
137	Samsung Galaxy S4	2
138	Samsung Galaxy Tab 3 10.1 3G	1
139	Samsung Galaxy Tab 3 10.1 LTE	1
140	Samsung Galaxy Tab 3 10.1 Wi-Fi	1
141	Samsung Galaxy Tab 3 7.0 3G	1
142	Samsung Galaxy Tab 3 7.0 Wi-Fi	1
143	Samsung Galaxy Tab 3 8.0 3G	1
144	Samsung Galaxy Tab 3 8.0 LTE	1
145	Samsung Galaxy Tab 3 8.0 Wi-Fi	1
146	Samsung Galaxy Tab 3 Kids	1
147	Sony Xperia Tablet Z LTE	1
148	Sony Xperia Tablet Z Wi-Fi	1
149	Sony Xperia Z	2
150	Sony Xperia Z1	2
151	Acer Aspire Switch 10 E	1
152	Acer Aspire Switch 2	1
153	Acer Iconia A1-840FHD	1
154	Acer Iconia One 7 B1-770 Wi-Fi	1
155	Acer Iconia One Tab 8	1
156	Acer Iconia Tab 10	1
157	Acer Iconia Tab 8	1
158	Acer Iconia Tab 8 A1-841	1
159	Apple iPad Air 2 LTE	1
160	Apple iPad Air 2 Wi-Fi	1
161	Apple iPad mini 3	1
162	Apple iPad Mini 3 LTE	1
163	Apple iPhone 6	2
164	Apple iPhone 6 Plus	2
165	Asus Fonepad 8	1
166	Asus MeMO Pad 8	1
167	Asus T100TAM-DK004B	1
168	Asus T100TAM-DK009H	1
169	Asus Transformer Book T100HA	1
170	Asus Transformer Book T100TAF-W10-DK076T	1
171	Asus Transformer Book T200	1
172	HTC One (M8)	2
173	Huawei MediaPad M1 8.0 LTE	1
174	Huawei MediaPad M1 8.0 Wi-Fi	1
175	Huawei MediaPad T1 8.0 3G	1
176	Huawei MediaPad T1 8.0 LTE	1
177	Huawei MediaPad T1 8.0 Wi-Fi	1
178	Lenovo A7-50 A3500-F	1
179	Lenovo A7-50 A3500-H	1
180	Lenovo A7600 A10-70 3G	1
181	Lenovo A8-50 3G	1
182	Lenovo A8-50F	1
183	Lenovo Miix 2	1
184	Lenovo Tab S8	1
185	Lenovo ThinkPad Tablet 10	1
186	Lenovo Thinkpad Tablet 8	1
187	Lenovo Vibe X2	2
188	Lenovo Yoga 2 8.0	1
